% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
% 
@RELATION iris

@ATTRIBUTE input        NUMERIC
@ATTRIBUTE force        NUMERIC           

@DATA
-0.36008,0.34528
0.70589,2.6743
1.4158,5.108
-1.6045,-0.79844
1.0289,3.6546
1.458,5.2909
0.047471,1.0961
1.7463,6.7177
0.15539,1.3229
-1.2371,-0.65463
-2.1935,-0.70078
-0.33341,0.38921
0.71354,2.6957
0.31741,1.6857
0.41361,1.9142
-0.57709,0.015949
0.144,1.2984
-1.6387,-0.80346
-0.76009,-0.22136
-0.81879,-0.28936
0.51973,2.1782
-0.01416,0.97178
-1.1555,-0.60012
-0.0095249,0.981
-0.68981,-0.13472
-0.6667,-0.10499
0.86415,3.1335
0.11342,1.2333
0.39836,1.8773
0.88397,3.1938
0.18026,1.3768
0.55085,2.2582
0.68296,2.6108
1.1706,4.1449
0.47586,2.0675
1.4122,5.0926
0.022608,1.0455
-0.047869,0.90541
1.7013,6.4728
-0.50971,0.11274
-0.002855,0.99429
0.91987,3.3045
0.14981,1.3109
1.4049,5.0615
1.0341,3.672
0.29157,1.626
-0.7777,-0.24218
0.5667,2.2993
-1.3826,-0.73143
0.24447,1.519
0.80844,2.9676
0.21304,1.4489
0.87968,3.1807
2.0389,8.5744
0.92393,3.3172
0.26692,1.5697
0.64166,2.4982
0.42549,1.9431
-1.3147,-0.69884
-0.41641,0.25493
1.2247,4.3438
-0.043584,0.91378
0.58242,2.3404
-1.0065,-0.47947
0.064517,1.1311
0.60029,2.3875
-1.3615,-0.72191
0.34759,1.7563
-0.18184,0.65289
-0.93953,-0.41647
-0.037533,0.92564
-1.8963,-0.79737
-2.128,-0.72967
-1.1769,-0.6152
-0.99053,-0.46494
-1.173,-0.6125
-1.7254,-0.80997
0.28823,1.6183
-1.5942,-0.79665
0.11022,1.2265
0.78707,2.9052
-0.0022268,0.99555
0.093109,1.1906
-0.37816,0.31591
-1.4827,-0.76909
-0.043819,0.91332
0.96083,3.4335
1.7382,6.6734
-0.43021,0.23332
-1.6273,-0.80195
0.16635,1.3466
0.37627,1.8243
-0.22695,0.57195
-1.1489,-0.59534
2.0243,8.47
-2.3595,-0.61028
-0.50997,0.11236
-1.3216,-0.70242
-0.63613,-0.064748
0.31785,1.6867
0.13805,1.2856
-0.71074,-0.16111
0.777,2.8761
0.62239,2.4464
0.64738,2.5136
-0.42563,0.24046
1.0486,3.7203
0.66071,2.5498
2.5088,12.881
1.0635,3.7704
1.1569,4.0957
0.052979,1.1074
-1.2884,-0.68467
-0.37122,0.32714
-0.75779,-0.21862
-0.56397,0.034402
0.55514,2.2692
-0.55678,0.044599
-0.89511,-0.37172
-0.40933,0.2661
-0.16089,0.69119
0.40933,1.9038
-0.95264,-0.42922
0.31732,1.6855
0.07802,1.1591
1.3244,4.7297
-0.21317,0.59646
-0.13448,0.7401
-1.1714,-0.61133
-1.3853,-0.73258
0.31051,1.6697
-0.24949,0.53229
0.50374,2.1376
-0.89266,-0.36918
1.9085,7.6866
0.12223,1.2519
1.047,3.7151
-0.22692,0.57201
-0.1625,0.68823
0.69005,2.6304
0.55576,2.2708
-1.1203,-0.57401
-1.5327,-0.78332
-1.0979,-0.55666
-1.4158,-0.74527
0.059571,1.1209
-0.41125,0.26306
-0.36801,0.33235
-1.361,-0.72165
0.77957,2.8835
0.43941,1.9772
-0.089622,0.82477
1.0212,3.6292
-0.87398,-0.3496
0.4147,1.9168
0.34844,1.7583
0.34925,1.7602
-0.72925,-0.18404
0.32684,1.7076
-0.51488,0.10514
-0.89645,-0.3731
-1.2033,-0.63301
1.0378,3.6843
-0.84594,-0.31945
-0.17291,0.66916
-1.2087,-0.63654
-0.29713,0.45018
-3.232,0.1298
-1.087,-0.54798
-1.4264,-0.74943
-1.0145,-0.48659
-0.21327,0.59629
-0.32535,0.40264
1.9444,7.9204
-0.57177,0.023399
-0.25003,0.53134
-1.5693,-0.79181
-0.47738,0.16095
-1.338,-0.71064
0.030299,1.0611
0.85309,3.1002
0.40425,1.8915
-0.70062,-0.14841
-1.6305,-0.80239
1.46,5.2999
2.05,8.6556
0.1205,1.2483
-0.9899,-0.46436
1.1978,4.244
-0.59266,-0.0057094
-0.46981,0.17241
0.88638,3.2011
-1.3852,-0.73256
-1.9568,-0.78512
0.42068,1.9314
0.40074,1.883
0.095142,1.1948
0.49668,2.1198
1.0822,3.8343
0.97045,3.4643
-0.56857,0.027908
0.80997,2.9721
0.17325,1.3615
-0.50554,0.1189
-1.1933,-0.62638
0.64697,2.5125
-0.35362,0.35584
0.046435,1.0939
-0.79295,-0.25992
-1.5505,-0.78766
0.17159,1.3579
-0.062139,0.87765
1.199,4.2486
0.8017,2.9479
1.0533,3.7362
-0.74888,-0.20792
-0.93633,-0.41332
-1.2691,-0.67374
0.49798,2.123
2.7891,16.611
0.72757,2.7351
-0.77306,-0.23674
0.83663,3.051
-1.1283,-0.58013
-1.4245,-0.74868
0.71744,2.7066
-0.77791,-0.24242
0.31599,1.6824
1.4065,5.0683
0.40112,1.884
0.92966,3.3351
-1.6058,-0.79866
0.66154,2.5521
2.1385,9.3299
0.54114,2.2331
-1.5409,-0.78536
-0.20314,0.61441
-0.49997,0.12716
0.38302,1.8404
0.41204,1.9104
0.40549,1.8945
-0.36378,0.33923
-0.59927,-0.01483
-0.58959,-0.0014643
0.85354,3.1016
-1.853,-0.80368
-0.2073,0.60695
0.27038,1.5776
-0.65277,-0.086789
0.47723,2.0709
-0.07132,0.8599
-0.9383,-0.41526
0.16136,1.3358
-0.26818,0.49979
-0.40987,0.26524
-0.71132,-0.16184
0.061445,1.1248
-1.8461,-0.80449
-0.39833,0.28356
-0.54355,0.063508
-0.9119,-0.38891
0.6527,2.528
-0.73427,-0.19019
0.54063,2.2318
0.97584,3.4816
-0.15687,0.69859
0.2778,1.5945
0.63952,2.4924
-0.080978,0.84132
0.54087,2.2324
-1.2626,-0.66994
1.1104,3.9315
-0.98956,-0.46405
-1.8288,-0.80629
1.3845,4.9755
-0.062727,0.87651
0.44892,2.0006
-0.36326,0.34008
-1.0206,-0.49203
-3.073,-0.022268
0.62628,2.4568
-0.28668,0.46797
-0.19734,0.62484
0.40561,1.8948
-1.4193,-0.74668
-0.72945,-0.18428
1.1473,4.0614
0.59786,2.3811
-1.2813,-0.6807
-2.2033,-0.69613
-0.57125,0.02414
0.214,1.451
0.94238,3.375
0.093725,1.1918
-1.1223,-0.57558
0.30616,1.6596
-1.1723,-0.61202
-0.96097,-0.43722
-0.65374,-0.088056
-1.2294,-0.64982
-0.27097,0.49498
-0.89995,-0.37671
-0.28569,0.46968
-0.46242,0.18364
-0.40979,0.26538
-0.50354,0.12186
1.2333,4.3761
0.61031,2.4141
0.059072,1.1199
-1.4669,-0.76398
-1.6258,-0.80173
-1.9648,-0.78321
2.6052,14.045
0.97237,3.4704
0.25698,1.5472
-0.97424,-0.4498
-1.1464,-0.59348
0.54764,2.2498
1.5651,5.7831
-1.6933,-0.8086
-0.4494,0.20359
-0.084292,0.83497
-1.992,-0.77618
0.84125,3.0647
-0.41466,0.25769
1.9122,7.7101
-0.3909,0.29543
0.40918,1.9034
-1.1424,-0.5906
-0.62486,-0.049652
-1.1687,-0.60949
0.39258,1.8634
1.3018,4.6401
-0.59364,-0.0070712
0.43638,1.9697
-0.50436,0.12064
0.10211,1.2094
1.1963,4.2384
0.12028,1.2478
-1.0368,-0.50623
-0.8571,-0.33156
-0.16987,0.67471
-0.19167,0.63508
-0.86582,-0.34092
0.18066,1.3777
1.2665,4.5026
-0.25117,0.52935
-0.20457,0.61185
-2.2015,-0.69697
-0.77451,-0.23844
-1.3933,-0.73602
-0.38623,0.30291
0.52559,2.1932
1.5233,5.5861
1.7985,7.0147
-0.11688,0.77307
-0.3202,0.41125
0.81752,2.9943
0.49016,2.1033
0.76525,2.8423
0.77828,2.8798
-1.4803,-0.76834
0.54036,2.2311
-0.091539,0.82111
-0.76025,-0.22156
-0.6936,-0.13953
1.2815,4.5603
-0.80974,-0.27913
-1.2368,-0.65444
0.21469,1.4525
2.0108,8.3738
0.025554,1.0514
0.3083,1.6645
-0.93825,-0.41521
1.6742,6.3293
0.12499,1.2578
0.5301,2.2047
-0.95207,-0.42867
0.85404,3.1031
0.38915,1.8551
-1.156,-0.60046
0.03974,1.0803
-0.4506,0.20174
0.10925,1.2245
-0.25055,0.53043
-0.1899,0.63828
-1.0329,-0.50283
-0.32329,0.40607
0.76653,2.8459
1.7447,6.709
-1.1605,-0.60369
2.3774,11.469
1.5261,5.5991
0.16851,1.3512
-0.30121,0.44325
-0.69865,-0.14593
0.83277,3.0395
-0.69461,-0.14081
-0.46188,0.18446
0.88362,3.1927
0.43594,1.9687
0.89675,3.2329
0.50473,2.1401
-0.4009,0.27947
-0.51385,0.10666
0.79637,2.9323
-0.67119,-0.11082
1.1867,4.2032
0.7907,2.9158
0.28772,1.6172
0.0032261,1.0065
0.36562,1.7989
3.5267,33.635
-0.11244,0.78145
-1.5566,-0.78905
1.9151,7.7289
0.60985,2.4129
-0.64791,-0.080385
2.6173,14.2
0.55095,2.2584
0.2942,1.632
-0.77784,-0.24235
-1.0649,-0.53
-1.7684,-0.80993
-0.42292,0.24471
-1.0531,-0.52011
0.64776,2.5146
-0.31763,0.41556
1.769,6.8454
1.5106,5.5276
0.16401,1.3415
-0.28276,0.47469
1.1522,4.0787
-1.1465,-0.59359


